City,Country,Latitude,Longitude,Date,Temperature,Max Temperature,Humidity,Wind Speed,Cloudiness
Amapá,BR,1.0,-52.0,1586568848,72.39,72.39,90,0.65,100
Tacna,PE,-18.01,-70.25,1586568848,69.8,69.8,77,1.12,46
Chapais,CA,49.78,-74.85,1586568849,32.0,32.0,95,6.93,90
Myitkyina,MM,25.38,97.4,1586568849,91.22,91.22,22,2.35,0
Abhā,SA,18.22,42.51,1586568849,65.25,66.2,68,6.93,58
Baghdad,IQ,33.34,44.4,1586568580,66.2,66.2,45,12.75,20
Villa Juárez,MX,24.65,-107.54,1586568849,75.67,78.8,44,13.87,75
Ulladulla,AU,-35.35,150.47,1586568849,69.66,73.4,33,21.92,37
Robertsport,LR,6.75,-11.37,1586568849,79.97,79.97,78,2.75,90
Oriximiná,BR,-1.77,-55.87,1586568729,77.47,77.47,91,4.5,99
Jérémie,HT,18.65,-74.12,1586568574,79.3,79.3,74,2.66,59
Ayan,RU,56.45,138.17,1586568850,38.12,38.12,87,7.56,9
Haines Junction,CA,60.75,-137.51,1586568850,24.06,24.06,83,2.46,3
Kungurtug,RU,50.6,97.52,1586568850,44.04,44.04,34,1.12,100
Blumenau,BR,-26.92,-49.07,1586568850,61.45,64.0,93,1.19,26
Campbell River,CA,50.02,-125.24,1586568850,58.98,62.6,42,12.75,20
Katobu,ID,-4.94,122.53,1586568852,84.09,84.09,77,2.86,17
Bud,US,39.45,-86.18,1586568852,44.26,46.99,45,6.08,1
Port Hardy,CA,50.7,-127.42,1586568852,50.0,50.0,71,12.75,40
Gambēla,ET,8.25,34.58,1586568852,78.87,78.87,49,3.4,80
Gagret,IN,31.67,76.07,1586568852,76.75,76.75,32,3.13,4
Codajás,BR,-3.84,-62.06,1586568852,75.61,75.61,88,0.65,33
Hay River,CA,60.82,-115.8,1586568563,23.0,23.0,67,12.75,75
Ostrovnoy,RU,68.05,39.51,1586568567,14.0,14.0,94,11.21,0
Dhārchula,IN,29.85,80.53,1586568853,69.3,69.3,18,1.81,0
Ōkuchi-shinohara,JP,32.07,130.62,1586568853,58.89,60.8,41,4.7,75
Lucapa,AO,-8.42,20.74,1586568854,64.4,64.4,74,2.21,63
Narsaq,GL,60.92,-46.05,1586568854,46.4,46.4,22,29.97,100
Ōdate,JP,40.27,140.57,1586568854,44.6,44.6,65,4.7,75
Brylivka,UA,46.42,33.15,1586568854,41.0,41.0,58,12.1,10
Haapiti,PF,-17.57,-149.87,1586568854,86.0,86.0,70,8.05,100
Alice Springs,AU,-23.7,133.88,1586568854,78.8,78.8,19,6.93,16
Antofagasta,CL,-23.65,-70.4,1586568637,66.2,66.2,82,8.05,20
Ancud,CL,-41.87,-73.82,1586568854,50.0,50.0,87,5.82,39
Iquitos,PE,-3.75,-73.25,1586568855,78.8,78.8,88,5.82,75
Tselinnoye,RU,53.08,85.67,1586568855,34.81,34.81,77,4.38,0
Pāsighāt,IN,28.07,95.33,1586568855,83.39,83.39,28,1.7,0
Pangkalanbuun,ID,-2.68,111.62,1586568855,87.94,87.94,67,2.48,86
Fort Nelson,CA,58.81,-122.7,1586568855,32.0,32.0,89,9.17,75
Sontra,DE,51.07,9.93,1586568856,38.34,43.0,60,5.82,29
Maragogi,BR,-9.01,-35.22,1586568856,79.75,79.75,83,6.73,13
Kavaratti,IN,10.57,72.64,1586568724,84.74,84.74,70,7.38,38
Morón,AR,-34.65,-58.62,1586568793,62.89,64.99,82,5.82,0
Kotel'nich,RU,58.31,48.35,1586568856,32.02,32.02,93,4.85,100
Dalvik,IS,65.97,-18.53,1586568857,30.2,30.2,100,3.36,90
Te Anau,NZ,-45.42,167.72,1586568857,60.12,60.12,54,8.25,8
Garmsār,IR,35.22,52.34,1586568857,53.83,53.83,57,1.72,92
Bristol,US,41.83,-71.17,1586568857,40.15,43.0,86,11.9,90
Margate,GB,51.38,1.39,1586568858,51.06,57.0,93,9.17,31
Tambura,SS,5.6,27.47,1586568858,70.81,70.81,76,4.09,99
Salsomaggiore Terme,IT,44.81,9.98,1586568858,52.86,55.99,40,3.15,0
Poplar Bluff,US,36.76,-90.39,1586568858,50.95,51.8,40,5.82,1
Balakhta,RU,55.38,91.6,1586568858,35.15,35.15,72,3.96,0
Burnie,AU,-41.07,145.92,1586568858,52.5,53.01,65,7.0,30
Iqaluit,CA,63.75,-68.51,1586568859,14.0,14.0,72,2.24,75
Mataram,ID,-8.58,116.12,1586568859,78.8,78.8,88,3.36,75
Banepā,NP,27.63,85.52,1586568859,55.4,55.4,76,2.24,20
Cabedelo,BR,-6.98,-34.83,1586568859,78.8,78.8,94,6.82,17
Paamiut,GL,61.99,-49.67,1586568860,36.19,36.19,79,2.44,100
Mackay,AU,-21.15,149.2,1586568860,82.81,84.99,69,8.05,73
Aksarayskiy,RU,46.79,48.01,1586568860,39.11,39.2,55,6.71,0
Ambovombe,MG,-25.17,46.08,1586568860,70.43,70.43,88,14.36,40
Muisne,EC,0.6,-80.03,1586568860,77.67,77.67,83,4.41,100
Ballina,AU,-28.87,153.57,1586568860,79.74,81.0,57,13.87,40
Doba,TD,8.65,16.85,1586568861,82.13,82.13,54,5.37,100
Anadyr,RU,64.75,177.48,1586568861,-0.17,0.0,84,15.66,32
Makakilo City,US,21.35,-158.09,1586568861,80.02,82.4,54,10.29,75
Lebu,CL,-37.62,-73.65,1586568861,56.68,56.68,86,11.77,70
Matara,LK,5.95,80.54,1586568746,82.74,82.74,73,9.08,16
Paducah,US,37.08,-88.6,1586568861,47.46,50.0,49,3.36,1
Wajima,JP,37.4,136.9,1586568861,48.2,48.2,61,4.7,75
Lagoa,PT,39.05,-27.98,1586568631,61.12,61.12,72,6.6,93
Cayenne,GF,4.93,-52.33,1586568570,80.6,80.6,88,8.5,75
Kerema,PG,-7.96,145.78,1586568862,85.78,85.78,65,6.6,98
Ghanzi,BW,-21.57,21.78,1586568862,62.96,62.96,61,3.87,41
Hofn,IS,64.25,-15.21,1586568862,42.57,42.57,88,10.65,100
Strezhevoy,RU,60.73,77.59,1586568862,30.2,30.2,68,8.95,47
Chegdomyn,RU,51.12,133.02,1586568862,45.23,45.23,49,3.06,0
Richards Bay,ZA,-28.78,32.04,1586568862,69.22,69.22,83,14.29,3
Guerrero Negro,MX,27.98,-114.06,1586568775,60.44,60.44,64,15.86,1
Swan River,CA,52.11,-101.27,1586568863,28.67,28.67,91,9.84,48
Imeni Poliny Osipenko,RU,52.42,136.49,1586568864,45.16,45.16,53,5.1,0
Sitka,US,57.05,-135.33,1586568864,48.0,48.2,29,6.93,1
Tarauacá,BR,-8.16,-70.77,1586568830,74.37,74.37,88,1.57,95
Tumpat,MY,6.2,102.17,1586568864,81.72,82.4,74,3.36,20
Sechura,PE,-5.56,-80.82,1586568865,75.67,75.67,70,11.41,90
Jalu,LY,29.03,21.55,1586568865,54.72,54.72,66,9.1,0
Linhares,BR,-19.39,-40.07,1586568865,71.71,71.71,92,2.26,75
Kupang,ID,-10.17,123.58,1586568865,80.6,80.6,83,6.93,75
Dongsheng,CN,39.82,109.98,1586568865,41.94,41.94,28,11.39,0
Rivers,CA,50.03,-100.24,1586568865,46.4,46.4,61,11.41,75
Liverpool,GB,53.41,-2.98,1586568865,54.66,57.99,87,1.12,100
Pedasí,PA,7.53,-80.03,1586568866,80.74,80.74,78,15.61,54
Rocha,UY,-34.48,-54.33,1586568827,56.73,56.73,89,1.59,12
Casa Nova,BR,-9.42,-41.13,1586568866,77.45,77.45,71,7.56,92
Ati,TD,13.22,18.34,1586568866,81.46,81.46,14,10.2,80
Ferkessédougou,CI,9.6,-5.2,1586568866,77.45,77.45,65,3.65,87
Sur,OM,22.57,59.53,1586568866,84.31,84.31,41,7.36,81
Salinópolis,BR,-0.61,-47.36,1586568737,80.83,80.83,83,9.13,99
Bouar,CF,5.93,15.6,1586568867,68.13,68.13,71,3.91,100
Barcelona,ES,41.39,2.16,1586568598,51.64,55.99,76,8.05,20
Ixtapa,MX,20.7,-105.2,1586568867,77.0,77.0,73,9.17,90
Rajanpur,PK,29.1,70.33,1586568867,83.35,83.35,33,11.18,60
Harper,LR,4.38,-7.72,1586568640,79.77,79.77,82,3.4,45
Lope de Vega,PH,12.3,124.62,1586568867,85.03,85.03,60,4.29,15
Zhangye,CN,38.93,100.45,1586568867,57.27,57.27,13,10.47,0
Emba,KZ,48.83,58.14,1586568867,44.31,44.31,62,11.99,99
Zabul Province,AF,32.25,67.25,1586568868,57.29,57.29,35,5.95,77
Mahibadhoo,MV,3.78,72.97,1586568868,84.25,84.25,66,1.66,23
Bambous Virieux,MU,-20.34,57.76,1586568868,77.49,78.01,83,11.41,40
Bartica,GY,6.4,-58.62,1586568868,77.0,77.0,88,4.7,86
Labuhan,ID,-6.88,112.21,1586568868,86.86,86.86,69,5.61,32
Carutapera,BR,-1.2,-46.02,1586568868,80.01,80.01,84,6.6,100
Gushikawa,JP,26.35,127.87,1586568869,71.69,73.4,56,11.41,75
Constantine,DZ,36.37,6.61,1586568869,53.6,53.6,93,5.82,75
Mwinilunga,ZM,-11.74,24.43,1586568869,60.37,60.37,64,5.17,97
Sindor,RU,62.86,51.89,1586568869,25.09,25.09,95,5.77,97
Nuuk,GL,64.18,-51.72,1586568870,32.0,32.0,88,9.17,100
Mitsamiouli,KM,-11.38,43.28,1586568870,84.0,84.0,74,9.73,20
Sambava,MG,-14.27,50.17,1586568870,74.8,74.8,86,9.06,27
Khovd,MN,48.01,91.64,1586568871,46.11,46.11,29,4.88,92
Khrebtovaya,RU,56.7,104.25,1586568871,35.55,35.55,81,5.68,100
Urdoma,RU,61.75,48.54,1586568871,22.51,22.51,95,5.32,59
Bilibino,RU,68.05,166.44,1586568601,10.83,10.83,82,4.21,100
Târnova,RO,46.32,21.8,1586568872,39.72,41.0,64,2.24,70
Tabatinga,BR,-4.25,-69.94,1586568872,74.43,74.43,95,2.01,100
Qasigiannguit,GL,68.82,-51.19,1586568872,30.2,30.2,58,3.36,96
Koungou,YT,-12.73,45.2,1586568872,82.4,82.4,83,5.82,3
Touros,BR,-5.2,-35.46,1586568873,78.8,78.8,88,11.5,20
Bend,US,44.06,-121.32,1586568836,62.13,66.99,32,12.75,1
Watsa,CD,3.04,29.54,1586568873,65.37,65.37,76,2.62,100
Dhidhdhoo,MV,6.88,73.1,1586568874,84.78,84.78,65,5.5,45
Miyazu,JP,35.53,135.18,1586568874,48.2,48.2,70,2.24,75
Kununurra,AU,-15.77,128.73,1586568874,75.2,75.2,73,6.93,100
Pacific Grove,US,36.62,-121.92,1586568724,60.19,64.0,63,13.87,40
Partizanskoye,RU,55.5,94.39,1586568874,36.61,36.61,64,5.12,0
Wukari,NG,7.85,9.78,1586568875,81.36,81.36,70,3.42,100
Yar-Sale,RU,66.83,70.83,1586568875,23.04,23.04,98,19.06,100
Padang,ID,-0.95,100.35,1586568600,78.62,78.62,76,4.36,85
Muli,MV,2.92,73.57,1586568875,84.16,84.16,68,3.6,10
Brae,GB,60.4,-1.35,1586568617,44.6,44.6,93,12.75,100
Zyryanka,RU,65.75,150.85,1586568876,26.02,26.02,96,1.12,100
Carberry,CA,49.87,-99.36,1586568876,46.4,46.4,61,11.41,75
Nuristan,AF,35.3,70.83,1586568877,32.97,32.97,20,4.07,69
Manga,BF,11.66,-1.07,1586568877,82.58,82.58,42,4.85,97
Rio Grande,BR,-32.03,-52.1,1586568596,63.91,63.91,80,10.07,0
Navolato,MX,24.77,-107.69,1586568877,75.33,78.8,44,13.87,75
La Santisima Trinidad,BO,-14.83,-64.9,1586568878,67.17,67.17,65,3.27,12
Cockburn Town,TC,21.46,-71.14,1586568879,78.75,78.75,74,4.07,68
Kidal,ML,18.44,1.41,1586568879,81.63,81.63,21,6.53,33
Narsīpatnam,IN,17.67,82.62,1586568879,78.8,78.8,88,2.24,20
Brigantine,US,39.41,-74.36,1586568879,44.38,46.0,42,21.92,1
Hambantota,LK,6.12,81.12,1586568879,83.26,83.26,74,12.44,9
Chiang Khong,TH,20.26,100.4,1586568880,73.8,73.99,69,3.36,68
Wrocław,PL,51.1,17.03,1586568767,37.24,44.01,80,2.24,81
Solnechnyy,RU,50.72,136.63,1586568880,42.73,42.73,51,4.76,0
Buala,SB,-8.14,159.59,1586568622,84.04,84.04,75,8.41,49
Chabahar,IR,25.29,60.64,1586568880,79.52,79.52,64,1.43,100
Marawi,PH,8.0,124.29,1586568880,82.85,82.85,43,5.73,14
Elkhart,US,41.58,-85.83,1586568586,38.88,43.0,55,5.82,1
Pandan,PH,14.05,124.17,1586568880,81.3,81.3,78,10.42,57
Lyudinovo,RU,53.87,34.45,1586568881,34.2,34.2,81,4.88,100
Rio Brilhante,BR,-21.8,-54.55,1586568692,61.39,61.39,57,2.71,3
Ritchie,ZA,-29.04,24.6,1586568881,66.2,66.2,93,12.75,1
Smithers,CA,54.78,-127.17,1586568881,46.4,46.4,26,18.34,20
Sakon Nakhon,TH,17.16,104.15,1586568881,83.08,84.99,74,4.7,81
Poções,BR,-14.53,-40.37,1586568881,67.06,67.06,81,2.21,98
Flin Flon,CA,54.77,-101.86,1586568881,23.43,23.43,94,10.09,95
Erenhot,CN,43.65,111.98,1586568882,47.98,47.98,27,7.87,0
Nishihara,JP,26.18,127.76,1586568882,71.49,73.4,60,13.87,75
Tuatapere,NZ,-46.13,167.68,1586568883,66.99,66.99,64,3.0,2
Rawson,AR,-43.3,-65.1,1586568883,69.62,69.62,44,15.99,60
Shingū,JP,33.73,135.98,1586568883,53.6,53.6,50,9.17,75
Chāndbāli,IN,20.78,86.77,1586568883,85.48,85.48,65,7.72,2
Las Choapas,MX,17.93,-94.08,1586568883,78.31,78.31,94,3.09,2
Deder,ET,9.32,41.45,1586568883,57.6,57.6,49,4.0,4
Asău,RO,46.43,26.4,1586568884,40.48,41.0,52,5.82,98
Galle,LK,6.04,80.22,1586568884,82.51,82.51,74,9.55,19
Rassvet,RU,46.83,40.75,1586568884,43.56,43.56,69,11.65,25
Ostrov,RU,57.34,28.35,1586568884,32.0,32.0,86,11.18,97
Yenagoa,NG,4.92,6.26,1586568885,77.99,77.99,90,0.83,31
Kiryat Gat,IL,31.61,34.76,1586568763,53.91,57.2,87,6.93,40
Dekar,BW,-21.53,21.93,1586568886,62.94,62.94,61,4.03,41
Penzance,GB,50.12,-5.54,1586568886,52.66,57.2,87,13.87,84
Waingapu,ID,-9.66,120.26,1586568886,85.14,85.14,64,7.56,42
Huanren,CN,41.26,125.37,1586568886,56.97,56.97,28,5.66,0
Polyarny,RU,69.2,33.45,1586568887,17.6,17.6,78,4.47,100
Slave Lake,CA,55.28,-114.77,1586568887,30.2,30.2,54,8.05,1
Domoni,KM,-12.26,44.53,1586568887,83.59,83.59,72,9.08,2
Faya,SA,18.39,42.45,1586568887,65.3,66.2,68,6.93,66
Sisimiut,GL,66.94,-53.67,1586568887,30.42,30.42,86,8.1,100
Tegul'det,RU,57.31,88.17,1586568887,37.54,37.54,74,4.92,38
Srikakulam,IN,18.3,83.9,1586568888,86.41,86.41,61,6.35,0
Aleksandrov Gay,RU,50.15,48.57,1586568888,40.14,40.14,64,8.59,51
Payakumbuh,ID,-0.22,100.63,1586568888,80.74,80.74,61,2.8,66
Porto-Novo,BJ,6.5,2.6,1586568888,82.4,82.4,83,3.36,20
Tual,ID,-5.67,132.75,1586568888,83.75,83.75,72,7.31,7
Dublin,US,37.7,-121.94,1586568888,60.46,66.2,63,10.29,1
Nantucket,US,41.28,-70.1,1586568626,41.25,43.0,86,13.87,90
Igarka,RU,67.47,86.58,1586568889,28.58,28.58,97,5.35,100
Nouadhibou,MR,20.93,-17.03,1586568889,69.8,69.8,73,25.28,0
Jadu,LY,31.95,12.03,1586568889,57.49,57.49,36,6.71,100
Abbeville,FR,50.1,1.83,1586568889,52.86,54.0,71,4.7,23
Laguna,US,38.42,-121.42,1586568889,66.54,70.0,56,12.75,1
Vitória de Santo Antão,BR,-8.12,-35.29,1586568889,84.2,84.2,74,5.82,40
Nakhon Sawan,TH,15.7,100.14,1586568890,89.01,89.01,60,8.77,34
Krivosheino,RU,57.34,83.93,1586568890,34.99,34.99,83,8.03,82
Biržai,LT,56.2,24.75,1586568890,31.77,31.77,95,7.61,36
Saint-Augustin,CA,51.23,-58.65,1586568890,28.04,28.04,98,8.66,100
Sawtell,AU,-30.38,153.1,1586568890,75.72,77.0,44,6.93,82
Marigot,MF,18.07,-63.08,1586568891,80.15,81.0,78,5.82,20
Amānganj,IN,24.43,80.03,1586568891,89.65,89.65,13,3.53,6
Malanje,AO,-9.54,16.34,1586568891,65.16,65.16,68,0.69,100
Manado,ID,1.49,124.85,1586568891,86.0,86.0,62,6.93,40
Bintulu,MY,3.17,113.03,1586568892,78.39,78.8,94,2.24,75
Praia,CV,14.92,-23.51,1586568892,73.4,73.4,78,16.11,78
Dzilam González,MX,21.28,-88.93,1586568892,78.44,78.44,78,10.0,16
Shache,CN,38.42,77.24,1586568892,63.54,63.54,15,8.43,100
Probolinggo,ID,-7.75,113.22,1586568893,86.7,86.7,57,2.1,47
Eyl,SO,7.98,49.82,1586568893,81.46,81.46,69,9.57,40
